ORF,Name,Allele,Strain ID,Plate,Row,Column
YDL126C,CDC48,cdc48-3,TSA208,3,3,18
YCL004W,PGS1,pgs1-5006,TSA1260,3,3,19
YER136W,GDI1,gdi1-1,TSA64,3,3,20
YGL048C,RPT6,rpt6-25,TSA186,3,3,21
YDR449C,UTP6,utp6-5001,TSA1255,3,3,22
YOR194C,TOA1,toa1-5001,TSA1185,3,3,23
YMR271C,URA10,,DMA3865,3,3,24
YMR271C,URA10,,DMA3865,3,4,1
YFL008W,SMC1,smc1-2,TSA321,3,4,2
YKL197C,PEX1,,DMA2900,3,4,3
YHR036W,BRL1,brl1-2221,TSA1038,3,4,4
YOR275C,RIM20,,DMA4677,3,4,5
YDR166C,SEC5,sec5-24,TSA51,3,4,6
YKL112W,ABF1,abf1-102,TSA319,3,4,7
YCL061C,MRC1,,DMA522,3,4,8
YNR017W,TIM23,tim23-5001,TSA1168,3,4,9
YKL125W,RRN3,rrn3-s213p,TSA527,3,4,10
YOR181W,LAS17,las17-14,TSA230,3,4,11
YLR319C,BUD6,,DMA3370,3,4,12
YBL084C,CDC27,cdc27-2,TSA90,3,4,13
YLL050C,COF1,cof1-5,TSA234,3,4,14
YFL039C,ACT1,act1-159,TSA910,3,4,15
YGR092W,DBF2,dbf2-1,TSA158,3,4,16
YPL128C,TBF1,tbf1-5001,TSA1199,3,4,17
YPL028W,ERG10,erg10-1,TSA531,3,4,18
YNL061W,NOP2,nop2-3,TSA624,3,4,19
YMR268C,PRP24,prp24-ts,TSA402,3,4,20
YIL046W,MET30,met30-9,TSA947,3,4,21
YOR326W,MYO2,myo2-16,TSA337,3,4,22
YDL103C,QRI1,qri1-5001,TSA1093,3,4,23
YMR271C,URA10,,DMA3865,3,4,24
YMR271C,URA10,,DMA3865,3,5,1
YOL123W,HRP1,hrp1-1,TSA960,3,5,2
YLR310C,CDC25,cdc25-2-supp1,TSA29,3,5,3
YOR329C,SCD5,scd5-d338,TSA569,3,5,4
YNL216W,RAP1,rap1-2,TSA559,3,5,5
YLR291C,GCD7,gcd7-5001,TSA1149,3,5,6
YGL130W,CEG1,ceg1-34,TSA358,3,5,7
YGL022W,STT3,stt3-1,TSA790,3,5,8
YLR186W,EMG1,emg1-1-supp1,TSA1020,3,5,9
YPR082C,DIB1,dib1-5001,TSA1237,3,5,10
YBR152W,SPP381,spp381-5001,TSA1075,3,5,11
YBL076C,ILS1,ils1-1,TSA275,3,5,12
YIR010W,DSN1,dsn1-8,TSA436,3,5,13
YDR113C,PDS1,pds1-128,TSA862,3,5,14
YBR011C,IPP1,ipp1-5001,TSA1062,3,5,15
YDR091C,RLI1,rli1-5001,TSA1127,3,5,16
YOR244W,ESA1,esa1-1851,TSA565,3,5,17
YJR006W,POL31,pol31-5001-supp1,TSA1163,3,5,18
YDL008W,APC11,apc11-22,TSA719,3,5,19
YJR093C,FIP1,fip1-433,TSA827,3,5,20
YMR229C,RRP5,rrp5-delta6,TSA1051,3,5,21
YDL192W,ARF1,,DMA784,3,5,22
YHR066W,SSF1,,DMA2113,3,5,23
YMR271C,URA10,,DMA3865,3,5,24
YMR271C,URA10,,DMA3865,3,6,1
YLR087C,CSF1,,DMA3192,3,6,2
YOR244W,ESA1,esa1-d414,TSA563,3,6,3
YDR288W,NSE3,nse3-ts4,TSA995,3,6,4
YHR030C,SLT2,,DMA2112,3,6,5
YGL091C,NBP35,nbp35-5001,TSA1120,3,6,6
YML023C,NSE5,nse5-ts3,TSA1006,3,6,7
YBL035C,POL12,pol12-ts,TSA365,3,6,8
YPR025C,CCL1,ccl1-ts4,TSA77,3,6,9
YKR083C,DAD2,dad2-9,TSA425,3,6,10
YDR228C,PCF11,pcf11-2,TSA685,3,6,11
YGR274C,TAF1,taf1-1,TSA524,3,6,12
YBL023C,MCM2,mcm2-1,TSA111,3,6,13
YPL094C,SEC62,sec62-ts,TSA224,3,6,14
YLR045C,STU2,stu2-12,TSA550,3,6,15
YDR531W,CAB1,cab1-5001,TSA1225,3,6,16
YDR052C,DBF4,dbf4-4,TSA164,3,6,17
YGR113W,DAM1,dam1-19,TSA244,3,6,18
YOL123W,HRP1,hrp1-4,TSA858,3,6,19
YMR043W,MCM1,mcm1-5001,TSA1134,3,6,20
YMR093W,UTP15,utp15-5001,TSA1246,3,6,21
YDL108W,KIN28,kin28-ts,TSA109,3,6,22
YJR065C,ARP3,arp3-31,TSA894,3,6,23
YMR271C,URA10,,DMA3865,3,6,24
YMR271C,URA10,,DMA3865,3,7,1
YGR113W,DAM1,dam1-5,TSA242,3,7,2
YGR185C,TYS1,tys1-1,TSA290,3,7,3
YJR065C,ARP3,arp3-g15c,TSA298,3,7,4
YFR028C,CDC14,cdc14-8,TSA926,3,7,5
YOR143C,THI80,thi80-5001,TSA1173,3,7,6
YPR110C,RPC40,rpc40-v78r,TSA642,3,7,7
YBR055C,PRP6,prp6-ts,TSA367,3,7,8
YLR086W,SMC4,smc4-1,TSA264,3,7,9
YBL105C,PKC1,pkc1-4,TSA539,3,7,10
YKR086W,PRP16,prp16-ts,TSA644,3,7,11
YDL147W,RPN5,rpn5-1,TSA1036,3,7,12
YHR058C,MED6,med6-ts,TSA1053,3,7,13
YDR478W,SNM1,snm1-172,TSA712,3,7,14
YNL118C,DCP2,dcp2-7d,TSA754,3,7,15
YDL105W,NSE4,nse4-5001,TSA1226,3,7,16
YBL105C,PKC1,pkc1-2,TSA538,3,7,17
YLR045C,STU2,stu2-10,TSA549,3,7,18
YLR191W,PEX13,,DMA3258,3,7,19
YER009W,NTF2,ntf2-h104y,TSA252,3,7,20
YER009W,NTF2,ntf2-5001,TSA1115,3,7,21
YJR057W,CDC8,cdc8-1,TSA407,3,7,22
YPR060C,ARO7,,DMA5054,3,7,23
YMR271C,URA10,,DMA3865,3,7,24
YMR271C,URA10,,DMA3865,3,8,1
YGR034W,RPL26B,,DMA1803,3,8,2
YER157W,COG3,cog3-2,TSA47,3,8,3
YHR196W,UTP9,utp9-5001,TSA1135,3,8,4
YBR131W,CCZ1,,DMA294,3,8,5
YNL272C,SEC2,sec2-41,TSA56,3,8,6
YLR298C,YHC1,yhc1-1,TSA632,3,8,7
YGR099W,TEL2,tel2-15,TSA938,3,8,8
YNL287W,SEC21,sec21-1,TSA46,3,8,9
YIR005W,IST3,,DMA2423,3,8,10
YNL267W,PIK1,pik1-104,TSA115,3,8,11
YDL209C,CWC2,cwc2-1,TSA1052,3,8,12
YML127W,RSC9,rsc9-5001,TSA1160,3,8,13
YHR191C,CTF8,ctf8-162,TSA322,3,8,14
YKL203C,TOR2,tor2-29,TSA838,3,8,15
YBR154C,RPB5,rpb5-h147r,TSA825,3,8,16
YDR228C,PCF11,pcf11-ts10,TSA679,3,8,17
YBR198C,TAF5,taf5-3,TSA509,3,8,18
YPL233W,NSL1,nsl1-5,TSA450,3,8,19
YKL193C,SDS22,sds22-5,TSA572,3,8,20
YPL076W,GPI2,gpi2-1-7b,TSA462,3,8,21
YDL140C,RPO21,rpo21-1,TSA804,3,8,22
YLR103C,CDC45,cdc45-27,TSA694,3,8,23
YMR271C,URA10,,DMA3865,3,8,24
YMR271C,URA10,,DMA3865,3,9,1
YHR058C,MED6,med6-ts,TSA1017,3,9,2
YFL039C,ACT1,act1-112,TSA218,3,9,3
YER125W,RSP5,rsp5-1,TSA182,3,9,4
YAL041W,CDC24,cdc24-2,TSA410,3,9,5
YFR004W,RPN11,rpn11-14,TSA534,3,9,6
YDR288W,NSE3,nse3-ts3,TSA994,3,9,7
YPR183W,DPM1,dpm1-6,TSA330,3,9,8
YBR057C,MUM2,,DMA218,3,9,9
YBR265W,TSC10,tsc10-1,TSA543,3,9,10
YAL041W,CDC24,cdc24-3,TSA412,3,9,11
YMR281W,GPI12,gpi12-5001,TSA1162,3,9,12
