ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YDR002W,YRB1,yrb1-51,tsa582-37C,610,34.61500248385495,34.59016393442623,90.81850482084363
YOR212W,STE4,ste4,tsa631-37C,83,34.59900206888158,34.93975903614458,92.13119380451495
YDL008W,APC11,apc11-13,tsa783-37C,259,34.561834561834566,34.74903474903475,90.7228812784365
YFR010W,UBP6,,dma1515,190,34.51887293992558,34.73684210526316,88.00345431720007
YOR057W,SGT1,sgt1-3,tsa830-37C,275,34.505050505050505,34.54545454545455,89.65267276582163
YMR235C,RNA1,rna1-1,tsa118-37C,340,34.441473559120624,34.411764705882355,91.42597774920712
YJR006W,POL31,hys2-ts,tsa794-37C,229,34.43606369370561,34.49781659388646,87.57329977526348
YJL085W,EXO70,exo70-29/37,tsa856-37C,484,34.43526170798898,34.50413223140496,91.76553519206767
YNL102W,POL1,pol1-17,tsa345-37C,321,34.428396110639106,34.57943925233645,89.35132840418902
YLL023C,POM33,,dma3041,552,34.392841458058854,34.42028985507246,86.36616610154506
YLR298C,YHC1,yhc1-6,tsa842-37C,11,34.343434343434346,36.36363636363637,83.03811558033922
YOR202W,HIS3,his3,tsa372-37C,6,34.34343434343434,33.333333333333336,73.25235712940427
YKR037C,SPC34,spc34-5,tsa839-37C,359,34.323738780563296,34.26183844011142,91.73404422180059
YGL145W,TIP20,tip20-5,tsa271-37C,476,34.31372549019608,34.2436974789916,89.7968045143517
YKR082W,NUP133,,dma3009,180,34.292929292929294,34.44444444444444,90.3141648201048
YDR088C,SLU7,slu7-ts2,tsa657-37C,581,34.218258314643855,34.251290877796905,89.7045117476459
YEL060C,PRB1,,dma1303,597,33.99827419927923,34.003350083752096,90.88984398041019
YNL013C,,,dma3929,1073,33.98476846752709,34.01677539608574,89.0325428897931
YFR004W,RPN11,rpn11-14,tsa534-26C,130,33.92385392385392,33.84615384615385,89.87401795106425
YIL126W,STH1,sth1-2,tsa507-37C,339,33.7087691069992,33.6283185840708,87.9771714689387
YBL105C,PKC1,pkc1-4,tsa539-37C,492,33.659768415865976,33.739837398373986,92.76434398555776
YDR182W,CDC1,cdc1-1,tsa31-26C,263,33.59834082267542,33.840304182509506,89.32177533978454
YKL113C,RAD27,,dma2839,88,33.58585858585858,34.09090909090909,92.59429274611556
YDL164C,CDC9,cdc9-1-supp2,tsa33-37C,530,33.569658852677726,33.58490566037736,87.39289285136807
YEL002C,WBP1,wbp1-1,tsa590-26C,76,33.49282296650718,34.21052631578947,93.05079069587171
YDR052C,DBF4,dbf4-2,tsa162-37C,223,33.482810164424514,33.63228699551569,88.12106097923595
YFL029C,CAK1,cak1-23,tsa650-37C,693,33.477633477633475,33.477633477633475,88.86012982758088
YDL105W,NSE4,nse4-ts3,tsa992-37C,350,33.41125541125542,33.42857142857143,90.61048273840633
YJR118C,ILM1,,dma2723,351,33.35923335923336,33.333333333333336,93.2903643081343
YML023C,NSE5,nse5-ts1,tsa1004-37C,500,33.296969696969704,33.4,89.20259412923531
YIR006C,PAN1,pan1-4,tsa353-37C,109,33.18506162542859,33.027522935779814,91.31279193492027
YLR305C,STT4,stt4-4,tsa123-37C,116,33.167885754092644,33.62068965517241,86.38312277784271
YPL160W,CDC60,cdc60-ts,tsa922-26C,58,33.12434691745037,32.758620689655174,93.09384854175612
YPR168W,NUT2,nut2-ts,tsa818-37C,473,32.88700963119568,32.98097251585624,89.20604602405305
YKL024C,URA6,ura6-4,tsa1031-37C,401,32.83961812640116,32.917705735660846,90.32246147957902
YIL062C,ARC15,arc15-10,tsa888-26C,93,32.68165526230042,33.333333333333336,93.0762257103182
YDL103C,QRI1,qri1-5001,tsa1093-37C,868,32.645580226225384,32.71889400921659,90.23785977676536
YBR160W,CDC28,cdc28-4,tsa150-26C,89,32.60696856202474,32.58426966292135,92.57557984262994
YOR212W,STE4,ste4,tsa404-37C,190,32.58373205741626,32.63157894736842,90.3397815132259
YBR058C-A,TSC3,tsc3-2,tsa571-37C,708,32.54151686355076,32.6271186440678,90.1809337920518
YBR294W,SUL1,,dma467,276,32.53184014053579,32.608695652173914,90.50680477475781
YDR062W,LCB2,lcb2-16,tsa585-37C,724,32.4641442044757,32.4585635359116,89.40468137496843
YEL002C,WBP1,wbp1-2,tsa581-37C,324,32.4635241301908,32.407407407407405,90.59116423933864
