ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YDR052C,DBF4,dbf4-1,tsa161-26C,517,41.543090479260684,41.58607350096712,94.2134569580404
YDL028C,MPS1,mps1-417,tsa169-37C,633,41.43807745703481,41.39020537124802,93.73492206407285
YBL105C,PKC1,pkc1-1,tsa537-37C,706,41.43131026983718,41.5014164305949,94.8785783158688
YER093C,TSC11,tsc11-7,tsa659-37C,930,41.40762463343109,41.39784946236559,94.49257038498624
YBR198C,TAF5,taf5-15,tsa512-37C,248,41.31638970348648,41.53225806451613,97.2059283666341
YLR459W,GAB1,gab1-1,tsa200-37C,280,41.2987012987013,41.42857142857143,89.81647861152085
YJR068W,RFC2,rfc2-1,tsa342-26C,68,41.28045157456923,41.1764705882353,92.66699871649968
YCR053W,THR4,,dma569,43,41.27319708715058,41.86046511627907,87.46160673805738
YDR498C,SEC20,sec20-1,tsa55-37C,526,41.08576256865231,41.06463878326996,95.21037272593756
YHR162W,MPC2,,dma2218,14,41.053391053391046,42.857142857142854,80.88689233284164
YLR103C,CDC45,cdc45-27,tsa694-37C,1120,40.98665223665224,40.982142857142854,90.7935352451741
YLR459W,GAB1,gab1-2,tsa201-37C,92,40.974967061923586,41.30434782608695,92.5300920161172
YDR145W,TAF12,taf12-w486stop,tsa515-37C,817,40.96658135825822,41.00367197062423,95.38354948500348
YFL039C,ACT1,act1-4,tsa138-37C,984,40.958364129095834,40.95528455284553,94.92832193508426
YNL215W,IES2,,dma4082,73,40.92984640929847,41.0958904109589,88.22627919005383
YHR191C,CTF8,ctf8-162,tsa322-37C,184,40.898111550285456,40.76086956521739,92.24906291705778
YBR087W,RFC5,rfc5-1,tsa887-37C,830,40.88353413654618,40.8433734939759,88.46286469607863
YPR168W,NUT2,nut2-ts,tsa818-37C,468,40.87024087024086,40.81196581196581,94.49205953908928
YNL163C,RIA1,ria1-ts,tsa1055-37C,106,40.851915380217264,40.56603773584906,89.51239759136159
YDR052C,DBF4,dbf4-4,tsa164-37C,944,40.834189351138505,40.889830508474574,90.5920703945646
YLR321C,SFH1,sfh1-1,tsa952-37C,79,40.81319524357498,40.50632911392405,92.22779895659725
YDR052C,DBF4,dbf4-ts,tsa95-26C,348,40.75235109717868,40.804597701149426,94.28797660325792
YFL039C,ACT1,act1-108,tsa904-37C,266,40.677451203766985,40.6015037593985,94.12220710969777
YFR004W,RPN11,rpn11-14,tsa534-37C,176,40.65656565656566,40.90909090909091,91.43004923277331
YDR392W,SPT3,,dma1125,103,40.649210552123165,40.77669902912621,92.25449065471287
