ORF,Name,Allele,Strain ID,Cluster_normal-5
YPL209C,IPL1,ipl1-1,tsa165-37C,0.15384615384615385
YDR292C,SRP101,srp101-47,tsa733-37C,0.15343915343915343
YNR005C,,,dma4212,0.1532258064516129
YPR016C,TIF6,tif6-ts4,tsa1010-37C,0.15306122448979592
YOR326W,MYO2,myo2-14,tsa269-37C,0.15267175572519084
YMR168C,CEP3,cep3-2,tsa845-37C,0.15204678362573099
YDR288W,NSE3,nse3-ts4,tsa995-37C,0.1518987341772152
YCL037C,SRO9,,dma516,0.1518987341772152
YGR113W,DAM1,dam1-5,tsa242-37C,0.15172413793103448
YAR018C,KIN3,,dma64,0.1511627906976744
YIL144W,NDC80,tid3-1,tsa246-37C,0.15083798882681565
YKL069W,,,dma2802,0.1506849315068493
YHR058C,MED6,med6-ts,tsa1017-37C,0.15053763440860216
YGR048W,UFD1,ufd1-2,tsa677-37C,0.15019762845849802
YBL105C,PKC1,pkc1-2,tsa538-37C,0.14960629921259844
YNL085W,MKT1,,dma4006,0.14957264957264957
YBR055C,PRP6,prp6-1,tsa455-37C,0.14953271028037382
YLR286C,CTS1,,dma3331,0.14925373134328357
YDR497C,ITR1,,dma1223,0.14925373134328357
YNL102W,POL1,pol1-1,tsa362-37C,0.14915254237288136
YBR156C,SLI15,sli15-3,tsa236-37C,0.14893617021276595
YDL035C,GPR1,,dma628,0.1487603305785124
YML009C-A,,,dma3525,0.14864864864864866
YGL001C,ERG26,erg26-1,tsa742-37C,0.14855072463768115
YCR081W,SRB8,,dma597,0.14814814814814814
YJR006W,POL31,hys2-ts,tsa794-37C,0.14814814814814814
YOR312C,RPL20B,,dma4693,0.14746543778801843
YJL091C,GWT1,gwt1-20,tsa655-37C,0.14736842105263157
YLR094C,GIS3,,dma3186,0.14666666666666667
YNL004W,HRB1,,dma3934,0.14666666666666667
YPL018W,CTF19,,dma4785,0.14666666666666667
YOR275C,RIM20,,dma4677,0.14634146341463414
YMR296C,LCB1,lcb1-2,tsa603-37C,0.1461794019933555
YHR146W,CRP1,,dma2195,0.14576271186440679
YLR115W,CFT2,cft2-1,tsa801-37C,0.14563106796116504
YLR378C,SEC61,sec61-2,tsa213-37C,0.14545454545454545
YKL042W,SPC42,spc42-10,tsa451-37C,0.1452991452991453
YBR258C,SHG1,,dma430,0.1452991452991453
YNL192W,CHS1,,dma4078,0.14457831325301204
YKL045W,PRI2,pri2-1,tsa19-37C,0.14444444444444443
YLL003W,SFI1,sfi1-7,tsa459-37C,0.14388489208633093
YJR053W,BFA1,,dma2650,0.14375
YNR035C,ARC35,arc35-6,tsa471-37C,0.14285714285714285
YPR016C,TIF6,tif6-ts1,tsa1008-37C,0.14285714285714285
YKR037C,SPC34,spc34-7,tsa857-37C,0.14285714285714285
YDL054C,MCH1,,dma637,0.14285714285714285
YHR069C,RRP4,rrp4-1,tsa724-37C,0.14285714285714285
YDL105W,NSE4,nse4-ts2,tsa1013-37C,0.14285714285714285
YLR347C,KAP95,kap95-e126k,tsa228-37C,0.14285714285714285
YKL173W,SNU114,snu114-60,tsa621-37C,0.1423076923076923
YEL019C,MMS21,mms21-1,tsa533-37C,0.14220183486238533
