ORF,Name,Allele,Strain ID
YNL081C,SWS2,sws2-supp2,dma3986
YNL102W,POL1,pol1-12,tsa897-37C
YNL106C,INP52,,dma4013
YNL109W,,,dma5342
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL138W,SRV2,srv2-2,tsa800-37C
YNL138W,SRV2,srv2-ts,tsa675-37C
YNL170W,,,dma4065
YNL197C,WHI3,,dma4073
YNL198C,,,dma4072
YNL222W,SSU72,ssu72-2,tsa902-37C
YNL236W,SIN4,,dma4113
YNL262W,POL2,pol2-12,tsa20-37C
YNL265C,IST1,,dma4136
YNL267W,PIK1,pik1-139,tsa116-37C
YNL272C,SEC2,sec2-41,tsa56-37C
YNL287W,SEC21,sec21-1,tsa46-37C
YNL316C,PHA2,,dma4167
YNR004W,SWM2,,dma4190
YNR041C,COQ2,,dma5177
YNR050C,LYS9,,dma4249
YOL001W,PHO80,,dma4274
YOL004W,SIN3,,dma4294
YOL009C,MDM12,,dma4290
YOL041C,NOP12,,dma4312
YOL108C,INO4,,dma4387
YOL123W,HRP1,hrp1-1,tsa960-37C
YOL123W,HRP1,hrp1-4,tsa858-37C
YOR038C,HIR2,,dma4455
YOR046C,DBP5,dbp5-2,tsa944-37C
YOR065W,CYT1,,dma4481
YOR074C,CDC21,cdc21-1,tsa927-37C
YOR080W,DIA2,,dma4493
YOR083W,WHI5,,dma4490
YOR125C,CAT5,,dma5333
YOR141C,ARP8,,dma4550
YOR151C,RPB2,rpb2-6,tsa693-37C
YOR174W,MED4,med4-54,tsa953-37C
YOR174W,MED4,med4-6,tsa738-37C
YOR181W,LAS17,las17-1,tsa912-37C
YOR184W,SER1,,dma4596
YOR196C,LIP5,,dma4586
YOR202W,HIS3,his3,tsa1021-37C
YOR202W,HIS3,his3,tsa1045-37C
YOR202W,HIS3,his3,tsa384-37C
YOR202W,HIS3,his3,tsa865-37C
YOR202W,HIS3,his3,tsa961-37C
YOR202W,HIS3,his3,tsa962-37C
YOR202W,HIS3,his3,tsa963-37C
YOR202W,HIS3,his3,tsa964-37C
YOR202W,HIS3,his3,tsa966-37C
YOR202W,HIS3,his3,tsa967-37C
YOR202W,HIS3,his3,tsa969-37C
YOR202W,HIS3,his3,tsa970-37C
YOR202W,HIS3,his3,tsa971-37C
YOR202W,HIS3,his3,tsa985-37C
YOR204W,DED1,ded1-f144c,tsa932-37C
YOR212W,STE4,ste4,tsa1022-37C
